num_genero,genero,titulo,tipo,archivo_mp3,ficha_letra,url
001,Balada_Pop_Jazz_Blues_Soul,Without Your Weight,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/001-Without_Your_Weight.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/001-Without_Your_Weight.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123204/Without_Your_Weight_kvhbd6.mp3
002,Balada_Pop_Jazz_Blues_Soul,Vuelvo a Tu Puerta,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/002-Vuelvo_a_Tu_Puerta.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/002-Vuelvo_a_Tu_Puerta.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123192/Vuelvo_a_Tu_Puerta_xb5wog.mp3
003,Balada_Pop_Jazz_Blues_Soul,VolaresdelParaiso,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/003-VolaresdelParaiso.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/003-VolaresdelParaiso.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123178/VolaresdelParaiso_r5hlbh.mp3
004,Balada_Pop_Jazz_Blues_Soul,Victoria,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/004-Victoria.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/004-Victoria.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123174/Victoria_dsh6uq.mp3
005,Balada_Pop_Jazz_Blues_Soul,Veran Tardo,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/005-Veran_Tardo.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/005-Veran_Tardo.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123160/Veran_Tardo_na9tgr.mp3
006,Balada_Pop_Jazz_Blues_Soul,Ven Acá Sensual Nocturno,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/006-Ven_Acá_Sensual_Nocturno.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/006-Ven_Acá_Sensual_Nocturno.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123172/Ven_Ac%C3%A1_Sensual_Nocturno_anhqik.mp3
007,Balada_Pop_Jazz_Blues_Soul,Vamos a Bailar,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/007-Vamos_a_Bailar.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/007-Vamos_a_Bailar.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123158/Vamos_a_Bailar_yydha5.mp3
008,Balada_Pop_Jazz_Blues_Soul,UniversoenloSimple,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/008-UniversoenloSimple.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/008-UniversoenloSimple.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123153/UniversoenloSimple_ha2iwe.mp3
009,Balada_Pop_Jazz_Blues_Soul,Tu eres mi verdad,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/009-Tu_eres_mi_verdad.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/009-Tu_eres_mi_verdad.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123133/Tu_eres_mi_verdad_kyw01v.mp3
010,Balada_Pop_Jazz_Blues_Soul,TuIndecision,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/010-TuIndecision.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/010-TuIndecision.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123140/TuIndecision_bjgujn.mp3
011,Balada_Pop_Jazz_Blues_Soul,Transformación,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/011-Transformación.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/011-Transformación.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123130/Transformaci%C3%B3n_skakdr.mp3
012,Balada_Pop_Jazz_Blues_Soul,Tiempo Final,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/012-Tiempo_Final.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/012-Tiempo_Final.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123134/Tiempo_Final_xwmlgo.mp3
013,Balada_Pop_Jazz_Blues_Soul,Te voy a amar,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/013-Te_voy_a_amar.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/013-Te_voy_a_amar.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123130/Te_voy_a_amar_amdvzz.mp3
014,Balada_Pop_Jazz_Blues_Soul,Te veo Bailando,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/014-Te_veo_Bailando.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/014-Te_veo_Bailando.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123095/Te_veo_Bailando_fikixk.mp3
015,Balada_Pop_Jazz_Blues_Soul,Te dejo volar,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/015-Te_dejo_volar.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/015-Te_dejo_volar.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123096/Te_dejo_volar_igjp19.mp3
016,Balada_Pop_Jazz_Blues_Soul,Te dejo ser feliz,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/016-Te_dejo_ser_feliz.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/016-Te_dejo_ser_feliz.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123103/Te_dejo_ser_feliz_exphrh.mp3
017,Balada_Pop_Jazz_Blues_Soul,Susurros de Medianoche,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/017-Susurros_de_Medianoche.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/017-Susurros_de_Medianoche.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123103/Susurros_de_Medianoche_encmge.mp3
018,Balada_Pop_Jazz_Blues_Soul,Stay Here,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/018-Stay_Here.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/018-Stay_Here.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123076/Stay_Here_dfkst2.mp3
019,Balada_Pop_Jazz_Blues_Soul,Soy tu Llama,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/019-Soy_tu_Llama.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/019-Soy_tu_Llama.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123072/Soy_tu_Llama_uq5di0.mp3
020,Balada_Pop_Jazz_Blues_Soul,Soy Mía,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/020-Soy_Mía.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/020-Soy_Mía.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123059/Soy_M%C3%ADa_emmtzs.mp3
021,Balada_Pop_Jazz_Blues_Soul,SolyAncla,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/021-SolyAncla.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/021-SolyAncla.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123060/SolyAncla_v5auhd.mp3
022,Balada_Pop_Jazz_Blues_Soul,Siete Puertas tetrica,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/022-Siete_Puertas_tetrica.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/022-Siete_Puertas_tetrica.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123045/Siete_Puertas_tetrica_otkmkl.mp3
023,Balada_Pop_Jazz_Blues_Soul,Senderos de Verdad,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/023-Senderos_de_Verdad.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/023-Senderos_de_Verdad.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123060/Senderos_de_Verdad_dbzeff.mp3
024,Balada_Pop_Jazz_Blues_Soul,SenderodeLuz sinfonica,con_letra_o_voz,01-FONOGRAMAS/Balada_Pop_Jazz_Blues_Soul/024-SenderodeLuz_sinfonica.mp3,02-LETRAS/Balada_Pop_Jazz_Blues_Soul/024-SenderodeLuz_sinfonica.txt,https://res.cloudinary.com/dgkruw6n7/video/upload/v1776123080/SenderodeLuz-sinfonica_fj1yru.mp3
